Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day (),PM2.5/N02,PM2.5/03,Weekend,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2023-02-15 19:35:00+00:00,46.234818,15.267305,240.0,4.248495242049359,4.2626798770413155,0.85753849492352,4.499809670330265,0.5,91.0,-0.7026840271237748,-3.2857577730270187,0.0,0.0,0.0,6.904550148033189,0.0,8.0,190.0,0.38457448743443695,-1.0555527992076628,0.0,0.014184634991956381,4.416369085951884,0,False,False,False,True
2023-02-15 20:15:00+00:00,46.234818,15.267305,240.0,4.02535169073515,4.330733340286331,2.0,4.454347296253507,0.1,92.0,-1.0051351079732642,-3.408396445662011,0.0,0.0,0.0,6.904550148033189,0.0,5.9,227.0,0.19587363096703383,-1.0555527992076628,0.0,0.3053816495511819,3.6375861597263857,0,False,False,False,True
2023-02-15 20:35:00+00:00,46.234818,15.267305,240.0,4.02535169073515,4.330733340286331,2.0,4.454347296253507,0.1,92.0,-1.0051351079732642,-3.408396445662011,0.0,0.0,0.0,6.904550148033189,0.0,5.9,227.0,0.19587363096703383,-1.0555527992076628,0.0,0.3053816495511819,3.6375861597263857,0,False,False,False,True
2023-02-15 21:15:00+00:00,46.234818,15.267305,240.0,3.871201010907891,4.290459441148391,2.0,4.356708826689592,-1.1,93.0,-2.1187495037621127,-4.913208712742621,0.0,0.0,0.0,6.9043494858473045,0.0,4.6,252.0,0.0989296054867527,-1.0555527992076628,0.0,0.41925843024050014,3.597312260588446,0,False,False,False,True
2023-02-15 21:35:00+00:00,46.234818,15.267305,240.0,3.871201010907891,4.290459441148391,2.0,4.356708826689592,-1.1,93.0,-2.1187495037621127,-4.913208712742621,0.0,0.0,0.0,6.9043494858473045,0.0,4.6,252.0,0.0989296054867527,-1.0555527992076628,0.0,0.41925843024050014,3.597312260588446,0,False,False,False,True
2023-02-15 22:15:00+00:00,46.234818,15.267305,240.0,3.784189633918261,4.430816798843313,2.0,4.48863636973214,-0.3,90.0,-1.8144199605890958,-3.5314914812694327,0.0,0.0,0.0,6.904249139652849,0.0,2.5,262.0,0.0,-1.0555527992076628,0.0,0.6466271649250525,3.7376696182833684,0,False,False,False,True
2023-02-15 22:35:00+00:00,46.234818,15.267305,240.0,3.784189633918261,4.430816798843313,2.0,4.48863636973214,-0.3,90.0,-1.8144199605890958,-3.5314914812694327,0.0,0.0,0.0,6.904249139652849,0.0,2.5,262.0,0.0,-1.0555527992076628,0.0,0.6466271649250525,3.7376696182833684,0,False,False,False,True
2023-02-15 23:15:00+00:00,46.234818,15.267305,240.0,3.5263605246161616,4.31748811353631,2.0,4.356708826689592,-0.2,89.0,-1.8144199605890958,-3.1635854098150156,0.0,0.0,0.0,6.904148783388026,0.0,1.8,270.0,-0.10108576859284941,-1.0555527992076628,0.0,0.7911275889201491,3.624340932976365,0,False,False,False,True
2023-02-15 23:35:00+00:00,46.234818,15.267305,240.0,3.5263605246161616,4.31748811353631,2.0,4.356708826689592,-0.2,89.0,-1.8144199605890958,-3.1635854098150156,0.0,0.0,0.0,6.904148783388026,0.0,1.8,270.0,-0.10108576859284941,-1.0555527992076628,0.0,0.7911275889201491,3.624340932976365,0,False,False,False,True
2023-02-16 00:15:00+00:00,46.234818,15.267305,240.0,3.4657359027997265,4.3694478524670215,2.0,4.418840607796598,-0.4,91.0,-1.7130706028442533,-4.028251454035341,0.0,0.0,0.0,6.9043494858473045,2.0,4.7,360.0,-2.443985368087867,-1.0613165039244128,0.0,0.903711949667295,3.676300671907076,0,False,False,False,True
