Date,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day ()
2023-01-01 00:15:00+00:00,7.7,85.0,5.3,5.5,0.0,0.0,0.0,992.7,7.0,6.7,144.0,2.6,0.357,0.0
2023-01-01 00:35:00+00:00,7.7,85.0,5.3,5.5,0.0,0.0,0.0,992.7,7.0,6.7,144.0,2.6,0.357,0.0
2023-01-01 01:15:00+00:00,7.8,84.0,5.2,5.7,0.0,0.0,0.0,992.8,4.0,6.4,133.0,2.1,0.356,0.0
2023-01-01 01:35:00+00:00,7.8,84.0,5.2,5.7,0.0,0.0,0.0,992.8,4.0,6.4,133.0,2.1,0.356,0.0
2023-01-01 02:15:00+00:00,4.8,92.0,3.6,1.9,0.0,0.0,0.0,992.5,10.0,9.2,141.0,1.8,0.356,0.0
2023-01-01 02:35:00+00:00,4.8,92.0,3.6,1.9,0.0,0.0,0.0,992.5,10.0,9.2,141.0,1.8,0.356,0.0
2023-01-01 03:15:00+00:00,4.0,95.0,3.2,0.9,0.0,0.0,0.0,991.9,27.0,10.5,142.0,1.5,0.356,0.0
2023-01-01 03:35:00+00:00,4.0,95.0,3.2,0.9,0.0,0.0,0.0,991.9,27.0,10.5,142.0,1.5,0.356,0.0
2023-01-01 04:15:00+00:00,4.3,94.0,3.4,1.4,0.0,0.0,0.0,992.0,25.0,8.9,137.0,1.2,0.356,0.0
2023-01-01 04:35:00+00:00,4.3,94.0,3.4,1.4,0.0,0.0,0.0,992.0,25.0,8.9,137.0,1.2,0.356,0.0
2023-01-01 05:15:00+00:00,2.8,96.0,2.3,-0.7,0.0,0.0,0.0,991.8,29.0,12.2,152.0,1.1,0.356,0.0
2023-01-01 05:35:00+00:00,2.8,96.0,2.3,-0.7,0.0,0.0,0.0,991.8,29.0,12.2,152.0,1.1,0.356,0.0
2023-01-01 06:15:00+00:00,3.3,96.0,2.7,-0.2,0.0,0.0,0.0,992.0,30.0,12.1,157.0,1.2,0.356,0.0
2023-01-01 06:35:00+00:00,3.3,96.0,2.7,-0.2,0.0,0.0,0.0,992.0,30.0,12.1,157.0,1.2,0.356,0.0
2023-01-01 07:15:00+00:00,5.9,92.0,4.7,3.4,0.0,0.0,0.0,992.2,30.0,8.0,162.0,1.6,0.356,1.0
